"Date and Time Run #1","Time (s) Run #1","Position, Ch P1 (m) Run #1","Velocity, Ch P1 (m/s) Run #1","Acceleration, Ch P1 (m/s²) Run #1","Ping Echo Time, Ch P1 (s) Run #1","Position, Ch 1+2 (m) Run #1","Velocity, Ch 1+2 (m/s) Run #1","Acceleration, Ch 1+2 (m/s²) Run #1","Ping Echo Time, Ch 1+2 (s) Run #1"
05/24/2024 01:25:52 pm,0.000,0.26,,,0.001486,,,,
05/24/2024 01:25:52 pm,0.010,,,,,-0.201,,,0.001166
05/24/2024 01:25:52 pm,0.020,0.26,0.34,,0.001522,,,,
05/24/2024 01:25:52 pm,0.030,,,,,-0.205,,,0.001190
05/24/2024 01:25:52 pm,0.040,0.27,0.35,0.69,0.001564,,,,
05/24/2024 01:25:52 pm,0.050,,,,,-0.209,-0.22,-0.4,0.001216
05/24/2024 01:25:52 pm,0.060,0.28,0.37,0.62,0.001606,,,,
05/24/2024 01:25:52 pm,0.070,,,,,-0.214,-0.23,-0.2,0.001243
05/24/2024 01:25:52 pm,0.080,0.28,0.38,0.62,0.001648,,,,
05/24/2024 01:25:52 pm,0.090,,,,,-0.218,-0.23,0.0,0.001270
05/24/2024 01:25:52 pm,0.100,0.29,0.39,0.41,0.001694,,,,
05/24/2024 01:25:52 pm,0.110,,,,,-0.223,-0.23,0.0,0.001297
05/24/2024 01:25:52 pm,0.120,0.30,0.40,-0.27,0.001739,,,,
05/24/2024 01:25:52 pm,0.130,,,,,-0.228,-0.23,0.0,0.001324
05/24/2024 01:25:52 pm,0.140,0.31,0.39,-1.21,0.001788,,,,
05/24/2024 01:25:52 pm,0.150,,,,,-0.232,-0.23,0.0,0.001350
05/24/2024 01:25:52 pm,0.160,0.32,0.35,-1.66,0.001835,,,,
05/24/2024 01:25:52 pm,0.170,,,,,-0.237,-0.23,0.0,0.001378
05/24/2024 01:25:52 pm,0.180,0.32,0.30,-1.17,0.001869,,,,
05/24/2024 01:25:52 pm,0.190,,,,,-0.241,-0.23,-0.1,0.001404
05/24/2024 01:25:52 pm,0.200,0.33,0.29,-0.25,0.001899,,,,
05/24/2024 01:25:52 pm,0.210,,,,,-0.246,-0.23,-0.1,0.001431
05/24/2024 01:25:52 pm,0.220,0.33,0.30,0.37,0.001935,,,,
05/24/2024 01:25:52 pm,0.230,,,,,-0.251,-0.23,0.0,0.001459
05/24/2024 01:25:52 pm,0.240,0.34,0.31,0.47,0.001971,,,,
05/24/2024 01:25:52 pm,0.250,,,,,-0.256,-0.23,0.0,0.001486
05/24/2024 01:25:52 pm,0.260,0.35,0.32,0.33,0.002008,,,,
05/24/2024 01:25:52 pm,0.270,,,,,-0.260,-0.23,5.6E-15,0.001513
05/24/2024 01:25:52 pm,0.280,0.35,0.33,0.17,0.002046,,,,
05/24/2024 01:25:52 pm,0.290,,,,,-0.265,-0.23,-6.9E-16,0.001541
05/24/2024 01:25:52 pm,0.300,0.36,0.33,0.02,0.002085,,,,
05/24/2024 01:25:52 pm,0.310,,,,,-0.270,-0.23,-1.2E-14,0.001568
05/24/2024 01:25:52 pm,0.320,0.37,0.33,-0.10,0.002123,,,,
05/24/2024 01:25:52 pm,0.330,,,,,-0.274,-0.23,-1.1E-14,0.001595
05/24/2024 01:25:52 pm,0.340,0.37,0.32,-0.16,0.002161,,,,
05/24/2024 01:25:52 pm,0.350,,,,,-0.279,-0.23,-5.2E-4,0.001623
05/24/2024 01:25:52 pm,0.360,0.38,0.32,-0.14,0.002199,,,,
