"Date and Time Run #1","Time (s) Run #1","Position, Ch P1 (m) Run #1","Velocity, Ch P1 (m/s) Run #1","Acceleration, Ch P1 (m/s²) Run #1","Ping Echo Time, Ch P1 (s) Run #1","Position, Ch 1+2 (m) Run #1","Velocity, Ch 1+2 (m/s) Run #1","Acceleration, Ch 1+2 (m/s²) Run #1","Ping Echo Time, Ch 1+2 (s) Run #1"
05/24/2024 02:01:46 pm,0.000,0.26,,,0.001493,,,,
05/24/2024 02:01:46 pm,0.010,,,,,-0.173,,,0.001004
05/24/2024 02:01:46 pm,0.020,0.26,0.00,,0.001493,,,,
05/24/2024 02:01:46 pm,0.030,,,,,-0.171,,,9.960498E-4
05/24/2024 02:01:46 pm,0.040,0.26,0.00,0.07,0.001493,,,,
05/24/2024 02:01:46 pm,0.050,,,,,-0.171,-0.01,-1.8,9.937516E-4
05/24/2024 02:01:46 pm,0.060,0.26,0.00,0.03,0.001493,,,,
05/24/2024 02:01:46 pm,0.070,,,,,-0.173,-0.03,-0.3,0.001004
05/24/2024 02:01:46 pm,0.080,0.26,0.00,-0.02,0.001494,,,,
05/24/2024 02:01:46 pm,0.090,,,,,-0.173,-0.01,0.5,0.001005
05/24/2024 02:01:46 pm,0.100,0.26,0.00,-0.05,0.001494,,,,
05/24/2024 02:01:46 pm,0.110,,,,,-0.173,0.01,0.6,0.001004
05/24/2024 02:01:46 pm,0.120,0.26,0.00,-0.04,0.001494,,,,
05/24/2024 02:01:46 pm,0.130,,,,,-0.172,0.01,0.3,0.001002
05/24/2024 02:01:46 pm,0.140,0.26,0.00,-0.01,0.001494,,,,
05/24/2024 02:01:46 pm,0.150,,,,,-0.172,0.02,-0.1,0.001001
05/24/2024 02:01:46 pm,0.160,0.26,0.00,-0.01,0.001494,,,,
05/24/2024 02:01:46 pm,0.170,,,,,-0.172,0.01,-0.3,9.980250E-4
05/24/2024 02:01:46 pm,0.180,0.26,5.35E-5,-0.02,0.001494,,,,
05/24/2024 02:01:46 pm,0.190,,,,,-0.171,0.00,-0.5,9.969751E-4
05/24/2024 02:01:46 pm,0.200,0.26,0.00,-0.01,0.001494,,,,
05/24/2024 02:01:46 pm,0.210,,,,,-0.172,0.00,-1.0,9.978753E-4
05/24/2024 02:01:46 pm,0.220,0.26,0.00,0.01,0.001494,,,,
05/24/2024 02:01:46 pm,0.230,,,,,-0.173,-0.03,-1.7,0.001003
05/24/2024 02:01:46 pm,0.240,0.26,-1.39E-15,0.01,0.001493,,,,
05/24/2024 02:01:46 pm,0.250,,,,,-0.171,-0.08,-2.2,9.933295E-4
05/24/2024 02:01:46 pm,0.260,0.26,5.35E-5,-0.01,0.001494,,,,
05/24/2024 02:01:46 pm,0.270,,,,,-0.176,-0.13,-2.1,0.001021
05/24/2024 02:01:46 pm,0.280,0.26,0.00,0.00,0.001494,,,,
05/24/2024 02:01:46 pm,0.290,,,,,-0.178,-0.17,-2.1,0.001038
05/24/2024 02:01:46 pm,0.300,0.26,0.00,0.04,0.001493,,,,
05/24/2024 02:01:46 pm,0.310,,,,,-0.180,-0.20,-2.4,0.001049
05/24/2024 02:01:46 pm,0.320,0.26,0.00,0.03,0.001493,,,,
05/24/2024 02:01:46 pm,0.330,,,,,-0.186,-0.26,-2.5,0.001081
05/24/2024 02:01:46 pm,0.340,0.26,0.00,-0.03,0.001494,,,,
05/24/2024 02:01:46 pm,0.350,,,,,-0.192,-0.32,-2.1,0.001116
05/24/2024 02:01:46 pm,0.360,0.26,0.00,-0.06,0.001494,,,,
05/24/2024 02:01:46 pm,0.370,,,,,-0.199,-0.35,-1.2,0.001156
05/24/2024 02:01:46 pm,0.380,0.26,0.00,0.00,0.001493,,,,
05/24/2024 02:01:46 pm,0.390,,,,,-0.206,-0.37,-0.3,0.001198
05/24/2024 02:01:46 pm,0.400,0.26,0.00,0.07,0.001493,,,,
05/24/2024 02:01:46 pm,0.410,,,,,-0.214,-0.36,0.2,0.001243
05/24/2024 02:01:46 pm,0.420,0.26,0.00,0.07,0.001493,,,,
05/24/2024 02:01:46 pm,0.430,,,,,-0.221,-0.35,0.2,0.001286
05/24/2024 02:01:46 pm,0.440,0.26,0.00,0.00,0.001493,,,,
05/24/2024 02:01:46 pm,0.450,,,,,-0.227,-0.34,-0.2,0.001321
05/24/2024 02:01:46 pm,0.460,0.26,0.00,-0.06,0.001494,,,,
05/24/2024 02:01:46 pm,0.470,,,,,-0.234,-0.36,-0.5,0.001363
05/24/2024 02:01:46 pm,0.480,0.26,0.00,-0.04,0.001494,,,,
05/24/2024 02:01:46 pm,0.490,,,,,-0.242,-0.37,-0.5,0.001406
05/24/2024 02:01:46 pm,0.500,0.26,0.00,0.03,0.001493,,,,
05/24/2024 02:01:46 pm,0.510,,,,,-0.249,-0.38,-0.3,0.001449
05/24/2024 02:01:46 pm,0.520,0.26,0.00,0.06,0.001493,,,,
05/24/2024 02:01:46 pm,0.530,,,,,-0.257,-0.38,-0.2,0.001494
05/24/2024 02:01:46 pm,0.540,0.26,0.00,0.01,0.001494,,,,
05/24/2024 02:01:46 pm,0.550,,,,,-0.265,-0.39,-0.1,0.001538
05/24/2024 02:01:46 pm,0.560,0.26,0.00,-0.04,0.001494,,,,
05/24/2024 02:01:46 pm,0.570,,,,,-0.272,-0.38,-0.1,0.001583
05/24/2024 02:01:46 pm,0.580,0.26,0.00,-0.04,0.001494,,,,
05/24/2024 02:01:46 pm,0.590,,,,,-0.280,-0.39,0.0,0.001629
05/24/2024 02:01:46 pm,0.600,0.26,0.00,-0.01,0.001494,,,,
05/24/2024 02:01:46 pm,0.610,,,,,-0.288,-0.39,0.2,0.001672
05/24/2024 02:01:46 pm,0.620,0.26,0.00,0.00,0.001494,,,,
05/24/2024 02:01:46 pm,0.630,,,,,-0.296,-0.38,0.4,0.001721
05/24/2024 02:01:46 pm,0.640,0.26,0.00,0.00,0.001494,,,,
05/24/2024 02:01:46 pm,0.650,,,,,-0.303,-0.37,0.3,0.001761
05/24/2024 02:01:46 pm,0.660,0.26,0.00,0.00,0.001494,,,,
05/24/2024 02:01:46 pm,0.670,,,,,-0.310,-0.36,0.0,0.001804
05/24/2024 02:01:46 pm,0.680,0.26,0.00,0.00,0.001494,,,,
05/24/2024 02:01:46 pm,0.690,,,,,-0.318,-0.37,-0.1,0.001846
05/24/2024 02:01:46 pm,0.700,0.26,0.00,0.00,0.001494,,,,
05/24/2024 02:01:46 pm,0.710,,,,,-0.325,-0.37,-0.1,0.001890
05/24/2024 02:01:46 pm,0.720,0.26,0.00,0.00,0.001494,,,,
05/24/2024 02:01:46 pm,0.730,,,,,-0.333,-0.38,0.0,0.001934
05/24/2024 02:01:46 pm,0.740,0.26,0.00,0.00,0.001494,,,,
05/24/2024 02:01:46 pm,0.750,,,,,-0.340,-0.37,0.0,0.001977
05/24/2024 02:01:46 pm,0.760,0.26,0.00,0.00,0.001494,,,,
